19,312,125,516,193,94,203,110,140,125,125,266,312,78,63,234,250,263,187,610,139,156,500,234,70,266,125,109,63,234,125,90,297,110,187,422,120,235,125,203,281,94,51,765,266,146,78,125,13977,

24,706,516,350,219,109,766,308,94,125,609,385,218,125,125,219,191,766,97,109,203,125,172,744,140,187,109,172,141,1001,136,109,125,125,156,157,140,94,438,235,328,131,125,453,172,297,213,94,17766,

20,128,131,109,125,125,109,172,1373,1092,145,2560,1403,904,394,1664,1945,2205,1153,291,127,1215,865,1103,563,992,2251,1181,1164,7196,3587,780,6954,78,11842,140,12040,13275,8399,2626,3530,1553,1087,9751,695,8993,6563,3512,18485,

20,94,172,219,125,218,94,234,1942,1695,2204,183,4743,3613,1145,2874,3112,3442,142,4101,563,3789,1340,2662,1917,3010,7040,3905,2245,3993,1603,1749,3790,94,5112,181,5415,9628,7415,5385,8575,2583,375,10040,2881,10412,2868,2016,21381,

21,156,125,234,94,94,141,109,139,109,94,219,93,79,93,94,78,91,469,94,109,78,47,351,109,110,62,110,78,156,78,156,190,78,78,125,672,47,93,187,94,94,968,812,219,889,110,78,8745,

23,203,109,125,78,94,125,141,31,49,109,94,125,62,110,140,63,78,109,63,98,78,110,172,156,109,110,109,47,104,78,62,79,78,62,110,62,78,156,63,156,78,62,78,63,109,110,109,4960,

23,156,172,203,157,125,124,203,125,125,188,156,156,169,157,1299,266,1378,1659,110,225,94,156,1156,173,172,141,156,187,2695,3607,141,156,79,187,8910,8566,174,234,578,1992,2348,266,562,8329,578,993,274,22137,

32,203,172,297,281,83,140,407,235,563,2143,328,198,110,109,125,3154,3435,1761,2016,2095,1747,1036,818,1083,546,882,156,1701,1357,961,6361,4957,94,140,2247,2552,125,5024,1893,2108,891,3218,1456,13332,13019,2003,1346,30589,

27,454,1828,593,219,297,304,344,218,344,579,375,265,187,188,218,313,224,391,416,586,281,1141,442,297,469,1014,210,797,510,421,526,750,318,266,297,375,226,531,531,266,188,546,293,219,203,172,156,27797,

20,132,188,6968,6086,140,6560,391,2922,3336,2138,204,3340,2053,1305,1201,1646,1943,94,622,187,449,766,1434,141,312,4351,2370,2258,3402,2636,1621,1424,15048,15391,204,407,6520,6223,1966,1464,5969,4802,3073,240,7015,7484,2506,29172,

21,138,163,538,339,2130,123,163,115,85,200,500,187,124,107,139,131,100,116,153,868,121,217,200,131,269,6078,6310,2026,1459,2564,2879,169,63,1552,1806,551,170,215,632,170,4145,4360,10780,11164,465,819,201,16329,

22,367,188,4273,178,5958,203,8177,190,156,2827,880,187,391,109,141,156,109,144,125,2972,2597,109,2670,2420,3498,20167,23147,3886,4918,3601,187,10484,38994,40539,927,352,1890,11562,14132,2870,108,14900,23894,13805,26117,228,223,26832,

20,171,178,672,156,360,187,328,208,156,110,1641,1251,1603,141,119,172,541,838,349,78,204,199,235,192,343,155,109,141,2146,2614,266,276,83,1239,141,125,1364,1645,140,2365,2967,156,157,250,127,134,156,14988,

21,2114,3491,580,266,536,231,742,200,250,1767,5322,6126,500,3239,388,300,455,304,188,728,1891,583,353,181,204,1411,191,829,348,281,188,603,188,250,250,156,14353,15242,623,1287,210,516,673,234,172,274,321,28360,

22,118,178,1027,1357,1045,1280,132,101,157,187,295,228,1227,1435,220,206,101,587,1684,1797,1063,1019,91,999,134,436,4388,4655,1411,1826,2073,462,77,134,3968,5360,138,228,166,178,4554,4786,898,210,1191,1522,189,23007,

20,126,146,213,148,161,124,768,463,719,144,161,160,651,473,702,1429,1705,93,333,79,225,475,869,80,107,463,125,487,714,539,382,396,81,1557,1328,68,182,638,2107,391,103,1843,2104,1046,807,208,682,18393,

21,230,224,488,4094,3627,107,282,152,4162,3746,5699,223,3128,2582,999,2980,3350,1789,1991,1829,1791,366,632,975,317,1021,2502,2067,1046,1187,928,750,189,2719,249,3035,232,1152,1717,212,2732,2198,1118,6861,6395,936,179,15361,

20,79,139,204,152,695,466,737,164,89,127,141,122,77,110,85,513,168,98,1848,2043,418,174,870,92,167,771,141,735,967,462,305,2040,1508,2958,3207,45,1973,2465,2888,130,91,423,692,153,64,159,156,96,

19,205,131,291,201,132,208,207,133,126,168,180,342,83,59,450,221,120,121,136,124,172,96,214,96,236,132,141,76,208,118,94,248,112,201,131,122,260,102,197,341,105,39,348,236,207,164,144,796,

