validacao iteracao_validacao
0.0536977364383 0
0.0532110685962 1
0.0527115899374 2
0.0521990898636 3
0.0516724502906 4
0.0511314552605 5
0.0505787187337 6
0.0500134512661 7
0.0494369182227 8
0.0488508731941 9
0.0482563255062 10
0.0476529184647 11
0.0470442643483 12
0.0464297503264 13
0.0458122036247 14
0.0451925123226 15
0.04457600184 16
0.043962628075 17
0.0433554337504 18
0.0427544732301 19
0.0421627706652 20
0.0415845036123 21
0.0410195947083 22
0.0404664136276 23
0.0399311446747 24
0.0394148432349 25
0.0389172654472 26
0.0384403119036 27
0.0379866158639 28
0.0375577333408 29
0.0371496659509 30
0.0367662673405 31
0.0364050162769 32
0.03606784297 33
0.0357540850897 34
0.0354650654879 35
0.0351972476414 36
0.0349507618399 37
0.0347251552141 38
0.0345211238794 39
0.0343357260587 40
0.0341690070742 41
0.034020590267 42
0.0338883958954 43
0.0337728571456 44
0.0336726870493 45
0.0335990482326 46
0.0335427428693 47
0.0335011695442 48
0.0334737481059 49
0.0334592445234 50
