erro iteracao
0.089853591893 0
0.0890793337296 1
0.0882862714453 2
0.0874741443432 3
0.0866420808786 4
0.0857909712958 5
0.0849230915277 6
0.0840379920597 7
0.0831382342741 8
0.0822270191781 9
0.0813025472125 10
0.0803680090987 11
0.0794254816924 12
0.0784758332871 13
0.07752059474 14
0.076565483299 15
0.075613117793 16
0.0746640859332 17
0.0737219158044 18
0.0727865228673 19
0.0718634911091 20
0.0709557927848 21
0.0700582175161 22
0.0691760718254 23
0.0683128433334 24
0.0674675395449 25
0.0666433490414 26
0.0658427211038 27
0.0650675043753 28
0.0643169179599 29
0.0635895424906 30
0.0628844083668 31
0.0622027347711 32
0.0615450678756 33
0.0609126709328 34
0.0603049533888 35
0.059717869305 36
0.0591527808875 37
0.0586112815023 38
0.0580887380834 39
0.0575848070913 40
0.057100079067 41
0.0566336396223 42
0.0561842786815 43
0.0556944576032 44
0.0511921503044 45
0.0507065940796 46
0.0502430290936 47
0.0498016507723 48
0.0493778383713 49
